CODGEO,NBMENFISC20,NBPERSMENFISC20,MED20,PIMP20,TP6020,TP60AGE120,TP60AGE220,TP60AGE320,TP60AGE420,TP60AGE520,TP60AGE620,TP60TOL120,TP60TOL220,PACT20,PTSA20,PCHO20,PBEN20,PPEN20,PPAT20,PPSOC20,PPFAM20,PPMINI20,PPLOGT20,PIMPOT20,D120,D920,RD20
01,269049,635968,24030,52,8,10,5,15,6,11,7,11,7,10,3,7,8,7,6,5,0,22,1,77,8,71,2,3,0,3,6,25,0,8,5,4,4,1,9,1,7,0,8,-15,7,13190,44880,3,4
02,225198,513595,20300,42,2,18,0,29,7,22,5,20,7,17,3,11,9,9,7,8,2,35,4,66,5,57,9,3,2,5,4,30,8,7,4,8,6,2,8,4,1,1,7,-13,3,11180,33600,3,0
03,159465,324754,20990,42,6,15,3,24,0,19,7,17,7,15,8,10,9,10,4,8,4,30,9,59,4,51,3,2,8,5,3,37,6,9,1,7,2,1,9,3,8,1,5,-13,3,11710,34260,2,9
04,73724,150895,21130,44,8,16,6,25,4,21,0,19,2,17,1,12,6,11,8,9,3,28,9,59,3,49,7,3,4,6,2,37,3,11,1,6,3,1,8,3,1,1,4,-14,0,11410,35980,3,2
05,64860,133071,21420,46,8,13,9,22,2,16,8,16,3,14,0,10,0,10,2,8,1,24,3,61,7,51,2,3,5,7,0,36,1,10,5,5,8,1,8,2,8,1,2,-14,1,12170,35720,2,9
06,535444,1116490,22630,53,7,16,2,22,7,18,2,18,4,16,2,13,3,12,4,8,6,26,3,71,2,61,4,3,6,6,2,29,8,12,4,5,3,1,5,2,7,1,1,-18,7,11230,41950,3,7
07,144639,311403,21450,44,4,14,3,21,1,17,8,17,2,14,3,10,1,9,9,8,3,29,0,62,9,54,5,3,3,5,1,34,5,10,1,6,2,2,1,2,8,1,3,-13,7,12000,35040,2,9
08,118525,259460,20310,41,0,18,3,30,2,22,4,20,6,17,3,13,0,12,0,8,8,35,1,64,6,56,0,3,0,5,6,31,5,8,5,8,4,2,5,4,1,1,8,-13,0,11150,33660,3,0
09,71078,146048,20430,40,5,17,9,25,4,23,0,20,6,18,3,13,4,13,2,11,5,32,1,59,1,50,4,3,3,5,4,37,1,8,5,7,9,2,0,4,2,1,7,-12,6,11010,33580,3,1
10,132644,286617,20960,45,0,16,2,26,5,21,2,19,1,15,1,10,6,8,3,6,6,32,6,66,9,56,4,3,0,7,5,31,3,9,2,7,5,2,4,3,5,1,6,-14,9,11560,35620,3,1
11,169363,353290,19980,39,5,20,0,31,1,25,2,22,8,20,7,14,9,14,2,11,4,35,6,58,2,48,8,3,5,5,9,37,4,8,8,8,7,2,2,4,6,1,9,-13,1,10710,33640,3,1
12,126199,264048,21260,42,8,14,0,21,4,15,9,15,3,13,6,10,6,13,4,9,2,27,2,61,3,51,2,2,4,7,7,35,5,10,9,5,7,1,8,2,8,1,1,-13,4,12200,34750,2,8
13,878391,1966770,22210,50,9,17,9,26,8,20,7,20,1,18,2,13,5,12,2,6,4,31,3,72,6,63,4,3,5,5,7,27,5,9,9,7,3,2,2,3,5,1,6,-17,3,10920,40290,3,7
14,305793,667007,22180,49,2,11,9,20,6,14,3,13,4,11,7,8,0,7,7,5,2,23,8,67,9,59,7,2,9,5,3,32,1,9,1,5,9,2,0,2,7,1,2,-15,0,12770,36980,2,9
15,67143,137066,21140,41,9,13,2,18,9,13,2,13,7,13,3,11,1,14,2,8,9,26,0,61,0,50,8,2,0,8,2,36,0,10,6,5,7,1,7,2,9,1,1,-13,3,12430,34220,2,8
16,160652,337956,21410,44,6,14,6,23,5,17,4,16,0,14,2,10,7,12,1,8,3,29,9,64,5,55,4,3,0,6,1,34,2,8,6,6,7,1,9,3,4,1,4,-14,0,11950,35350,3,0
17,312516,654452,22080,47,7,12,4,20,7,14,9,14,1,13,2,8,7,9,6,7,4,23,7,60,0,50,3,3,2,6,5,39,0,10,3,5,6,1,7,2,8,1,1,-14,9,12620,37250,3,0
18,139448,291874,21560,46,5,14,0,23,4,17,8,16,4,13,6,9,8,9,3,7,1,30,7,63,4,55,8,2,6,5,0,35,7,7,9,6,9,2,0,3,5,1,4,-13,9,12090,35070,2,9
19,110628,227136,21590,45,6,13,1,21,0,16,1,14,4,12,8,9,6,11,7,8,2,25,8,61,7,53,5,2,6,5,6,37,7,8,8,5,5,1,7,2,7,1,1,-13,7,12450,35120,2,8
21,231556,494467,22940,53,0,11,5,20,8,13,3,13,0,11,1,7,8,7,4,5,1,24,8,70,5,62,5,2,6,5,4,31,2,8,9,5,4,1,9,2,4,1,1,-16,0,12880,38180,3,0
22,278570,598928,21850,46,4,12,1,19,9,14,8,13,6,12,6,8,2,9,7,7,3,27,0,62,2,53,1,2,9,6,2,37,2,8,8,5,7,2,0,2,6,1,1,-13,9,12700,35430,2,8
23,55808,109380,20130,39,0,18,3,25,1,22,1,20,9,18,8,14,0,17,0,13,6,32,6,55,6,46,4,2,4,6,8,41,4,8,3,6,9,1,7,3,9,1,3,-12,2,11030,32570,3,0
24,190234,390434,20830,42,0,16,1,24,4,19,0,18,3,16,8,12,2,13,8,10,8,29,7,57,3,48,8,3,0,5,5,40,5,8,9,6,3,1,8,3,2,1,3,-13,0,11560,34170,3,0
25,234211,519216,23260,52,8,12,2,21,3,13,9,13,7,11,1,8,4,8,2,5,0,26,7,76,3,68,5,3,3,4,5,27,0,6,9,5,8,2,0,2,6,1,2,-16,0,12650,41250,3,3
26,226494,504757,21790,46,8,14,4,20,4,17,2,17,1,14,3,10,4,9,5,7,3,28,4,66,0,57,6,3,3,5,1,30,6,12,0,6,2,2,2,2,7,1,3,-14,8,12030,36810,3,1
27,249773,584804,22240,50,4,12,3,19,2,15,3,13,9,11,7,8,2,7,5,5,5,26,9,70,9,63,9,3,0,4,0,29,8,7,3,6,5,2,4,2,9,1,2,-14,5,12650,36110,2,9
28,182908,424570,22650,52,3,11,8,17,7,14,7,13,9,11,4,8,0,7,2,5,4,26,6,71,4,64,0,2,9,4,5,30,0,7,8,5,8,2,4,2,4,1,0,-15,0,12780,36600,2,9
29,419440,892605,22400,48,7,11,0,20,3,12,9,12,1,11,1,7,4,8,2,6,0,26,0,65,3,56,6,3,0,5,7,35,2,8,4,5,6,1,9,2,6,1,1,-14,5,13070,36200,2,8
2A,60155,122474,22350,52,1,16,3,20,3,17,2,17,1,15,3,14,8,17,3,9,7,25,2,68,1,58,2,2,9,7,0,32,2,11,9,5,4,1,3,3,1,1,0,-17,6,11360,39790,3,5
2B,67583,136561,20740,44,8,20,1,26,9,21,7,22,7,19,4,17,1,19,6,12,2,30,8,65,5,54,0,2,9,8,6,33,0,10,2,7,0,1,5,4,0,1,5,-15,7,10590,37030,3,5
30,332454,733711,20740,43,5,19,4,28,7,22,8,22,2,19,5,15,3,13,1,9,4,35,7,64,5,55,4,3,5,5,6,32,9,9,3,7,9,2,3,3,9,1,7,-14,6,10760,35940,3,3
31,616712,1348666,23730,54,6,13,3,24,5,14,3,13,8,12,0,9,3,9,9,5,0,25,6,79,1,70,8,3,3,5,0,23,2,8,8,6,3,2,0,2,9,1,4,-17,4,12210,41520,3,4
32,86297,182230,21420,43,5,15,0,22,7,16,8,16,1,14,6,11,9,15,4,10,0,28,1,62,0,52,8,2,7,6,5,35,4,10,3,6,0,1,8,3,0,1,2,-13,7,11840,35710,3,0
33,726612,1601052,23180,53,2,12,4,22,1,13,7,13,2,12,0,8,9,9,1,5,7,23,1,74,5,65,6,3,4,5,5,27,6,9,0,5,7,1,8,2,7,1,2,-16,8,12510,39790,3,2
34,531047,1133725,21130,45,9,18,7,30,8,21,5,21,1,18,8,13,8,12,4,8,9,32,3,66,5,56,4,3,8,6,3,30,9,10,7,7,6,2,2,3,7,1,7,-15,7,10850,37710,3,5
35,462753,1046105,22840,51,1,10,7,20,6,12,2,11,2,9,7,7,0,7,8,5,0,24,5,74,9,66,9,3,1,4,9,26,4,8,6,5,7,2,1,2,5,1,1,-15,6,13160,37820,2,9
36,102752,208731,20820,42,3,14,6,23,9,19,4,16,8,14,4,10,3,10,6,8,2,30,0,60,2,52,3,2,8,5,1,38,2,7,8,6,7,1,9,3,5,1,3,-12,9,12000,33110,2,8
37,272986,592255,22450,50,0,12,4,22,8,14,8,13,3,12,0,8,4,8,1,5,0,26,6,70,0,62,5,3,0,4,5,31,3,8,1,5,9,2,0,2,7,1,2,-15,3,12550,37720,3,0
38,531789,1225327,23580,54,3,11,3,19,8,13,6,12,6,10,4,7,5,7,8,5,0,24,6,74,7,67,7,3,0,4,0,26,9,9,3,5,2,2,1,2,1,1,0,-16,1,12950,39630,3,1
39,117104,253156,22460,49,0,11,2,16,6,13,5,12,9,10,7,8,2,9,0,6,0,24,2,69,2,61,6,2,9,4,7,32,5,7,5,5,2,1,9,2,3,1,0,-14,4,13000,37490,2,9
40,193996,421821,22100,47,9,11,4,18,0,13,5,13,0,11,6,8,3,9,3,6,6,22,6,63,8,54,9,3,5,5,4,35,9,9,2,5,2,1,7,2,5,1,0,-14,1,12940,35840,2,8
41,148365,322969,21940,48,3,12,5,19,3,16,8,15,2,12,0,8,2,7,5,6,1,28,3,64,9,57,5,2,8,4,6,35,3,8,0,5,9,2,1,2,7,1,1,-14,1,12580,35580,2,8
42,332823,742747,21380,44,6,15,0,25,2,17,8,17,5,14,6,9,9,9,3,6,3,31,0,67,2,59,7,3,0,4,5,31,2,8,7,7,0,2,5,3,0,1,5,-14,1,11840,35180,3,0
43,102856,222964,21470,42,4,11,9,17,5,12,7,12,9,11,7,9,2,11,6,7,7,24,7,64,1,54,9,2,8,6,4,33,1,9,8,6,0,2,1,2,8,1,1,-13,0,12830,34100,2,7
44,625446,1412225,23430,53,2,10,0,16,9,11,1,10,5,9,4,6,9,7,5,5,0,23,1,75,0,67,5,3,2,4,3,26,8,8,8,5,4,2,0,2,3,1,1,-16,0,13460,38660,2,9
45,292634,666036,22480,52,7,13,2,21,5,16,5,15,5,12,4,8,4,6,8,5,2,28,4,71,2,64,4,2,9,3,9,30,2,7,9,6,0,2,3,2,5,1,2,-15,3,12330,37300,3,0
46,80411,162938,21310,44,1,14,9,23,1,17,9,17,3,15,6,11,3,12,8,10,1,28,6,56,5,47,2,2,9,6,4,41,5,10,0,5,6,1,6,2,9,1,1,-13,6,11850,35310,3,0
47,149365,319074,20550,41,2,16,8,23,5,18,9,19,1,16,9,13,2,14,6,10,3,30,8,61,9,52,9,3,2,5,8,35,2,9,3,7,0,2,2,3,4,1,4,-13,4,11460,34280,3,0
48,33717,70202,20940,42,6,14,9,21,0,16,3,16,0,15,3,11,4,15,1,10,4,25,7,62,5,52,7,2,4,7,4,34,7,9,7,6,1,1,9,3,1,1,1,-13,0,11820,33630,2,8
49,346532,797703,21790,45,5,11,1,19,2,12,9,12,1,10,5,7,5,7,7,5,0,25,1,70,9,63,1,3,0,4,8,29,1,7,8,6,2,2,5,2,5,1,2,-14,0,13060,35120,2,7
50,228365,489723,21740,45,9,11,4,16,3,13,2,13,0,11,4,8,2,9,7,6,4,22,4,64,9,56,5,2,5,5,9,34,9,8,2,5,7,2,0,2,6,1,1,-13,7,12980,35080,2,7
51,244787,534725,22230,50,8,14,2,25,3,17,8,15,8,13,0,8,9,7,6,5,0,27,1,72,4,61,4,2,8,8,2,28,2,9,7,6,3,2,1,2,9,1,3,-16,6,12040,38820,3,2
52,78528,165343,20780,43,2,15,0,22,7,19,1,17,6,14,7,10,5,11,1,8,4,29,5,62,2,54,2,2,8,5,2,36,0,7,8,6,9,2,1,3,5,1,3,-12,9,11970,33100,2,8
53,130761,298552,21510,43,6,11,0,17,1,12,4,11,7,10,6,7,8,9,4,5,8,24,7,68,4,60,5,2,5,5,4,30,7,8,4,5,7,2,5,2,2,1,0,-13,2,13100,33680,2,6
54,312390,679981,22400,46,6,14,6,26,6,17,8,16,7,13,5,9,2,8,7,6,0,30,7,70,7,63,2,2,7,4,8,29,3,8,6,6,2,1,9,2,9,1,4,-14,8,11810,38250,3,2
55,79574,173249,21320,43,9,14,2,23,1,17,1,15,9,13,5,10,3,11,3,8,1,29,6,65,2,56,6,2,5,6,1,33,3,8,5,6,2,2,0,3,0,1,2,-13,2,12140,34320,2,8
56,351001,757665,22270,48,6,11,5,19,8,14,3,13,1,11,8,7,6,8,4,6,4,25,4,63,3,54,6,3,1,5,6,36,9,9,0,5,3,1,9,2,4,1,0,-14,5,12920,36530,2,8
57,441368,983675,22350,43,8,15,3,24,6,19,7,18,4,13,7,9,9,10,1,7,2,30,0,69,4,62,6,2,9,3,9,28,0,10,8,5,5,1,7,2,6,1,2,-13,7,11600,40570,3,5
58,97203,192485,20940,43,7,15,5,24,1,20,5,18,8,16,4,11,2,9,5,9,4,30,8,56,8,49,2,2,4,5,2,41,5,8,0,6,9,1,8,3,8,1,3,-13,2,11690,33630,2,9
59,1073548,2497820,20750,45,2,18,4,29,7,21,5,20,2,17,7,12,5,11,1,7,3,34,6,72,6,64,7,3,2,4,7,26,1,7,6,8,6,2,7,4,1,1,8,-14,9,11100,36420,3,3
60,332222,805483,22680,53,5,12,8,20,3,15,7,14,5,11,8,8,5,7,7,5,1,26,9,75,8,68,9,3,1,3,8,26,6,7,2,6,2,2,4,2,7,1,1,-15,8,12440,37760,3,0
61,124795,266153,20800,42,0,15,0,23,5,19,8,17,4,15,4,10,3,9,4,7,7,30,7,61,5,53,1,2,6,5,8,36,4,8,6,6,5,2,2,3,0,1,3,-13,0,11830,33320,2,8
62,611945,1428264,20090,41,1,17,8,29,2,21,4,19,4,16,7,12,0,11,9,7,3,33,9,68,6,60,9,3,0,4,7,29,3,6,6,8,8,2,9,4,1,1,8,-13,3,11460,33260,2,9
63,297363,629060,22510,49,4,13,2,24,6,15,1,14,0,12,7,9,4,9,4,6,4,28,1,69,4,61,9,2,7,4,8,31,3,9,0,5,6,1,8,2,6,1,2,-15,3,12300,37640,3,1
64,316170,664403,22550,49,7,12,2,21,7,13,7,13,6,12,6,8,7,9,7,6,6,23,4,65,8,57,2,3,1,5,5,33,9,10,5,5,4,1,6,2,7,1,1,-15,6,12660,38890,3,1
65,105917,216193,20990,43,6,15,5,27,0,19,6,17,9,14,8,11,2,12,2,8,8,30,6,60,9,51,6,3,6,5,7,38,1,7,5,6,7,1,8,3,5,1,4,-13,2,11700,34020,2,9
66,225537,468489,20070,41,5,20,7,34,2,26,2,24,0,22,2,14,4,13,5,10,9,36,1,57,8,47,8,3,8,6,2,37,8,9,8,8,6,2,2,4,5,1,9,-14,0,10580,34430,3,3
67,483396,1097429,23330,54,8,13,2,21,9,16,2,15,9,12,0,8,6,7,6,5,0,26,1,75,5,68,0,3,0,4,5,27,2,8,7,5,4,1,9,2,4,1,1,-16,8,12270,40000,3,3
68,326389,743407,23760,55,3,13,2,21,2,16,6,16,0,12,0,8,7,7,5,5,1,27,3,77,0,70,1,3,3,3,6,27,9,7,5,4,9,1,8,2,1,1,0,-17,3,12260,44480,3,6
69,792332,1789584,23690,56,5,14,1,21,5,15,5,15,9,14,0,9,5,8,3,5,0,25,6,78,3,70,5,3,3,4,5,23,9,10,5,5,7,2,1,2,4,1,2,-18,4,11990,43300,3,6
70,104673,228938,21260,44,5,13,0,19,7,16,5,14,4,12,5,9,5,10,1,7,5,28,0,66,2,58,7,2,9,4,6,33,7,7,0,6,1,2,2,2,8,1,1,-13,0,12480,33800,2,7
71,248697,529159,21520,46,0,12,8,19,4,15,7,15,3,12,5,9,1,9,8,6,9,26,2,64,4,56,2,2,8,5,4,35,6,8,2,5,8,2,0,2,7,1,1,-14,0,12500,35080,2,8
72,247228,550076,21630,46,5,12,9,21,8,15,9,15,0,12,5,8,3,7,3,5,3,30,1,67,6,60,4,2,9,4,3,32,7,7,1,6,4,2,4,2,7,1,3,-13,8,12440,34300,2,8
73,195379,428060,23630,55,5,10,3,17,0,11,8,12,0,10,2,7,1,7,2,5,0,20,4,71,7,62,7,3,2,5,8,29,1,11,0,4,3,1,7,1,8,0,8,-16,1,13300,39450,3,0
74,354998,804040,27030,56,0,9,4,13,3,9,8,10,0,9,2,8,0,7,6,5,0,18,4,83,0,75,5,3,4,4,1,21,1,9,6,2,7,1,1,1,1,0,5,-16,4,13730,57080,4,2
75,1032431,2029028,28790,68,5,15,4,17,5,11,8,16,1,18,2,16,1,11,3,5,8,20,6,88,8,77,2,3,3,8,3,19,7,17,4,3,1,0,8,1,5,0,8,-29,0,11010,68220,6,2
76,543268,1203325,21700,48,4,14,6,24,9,17,8,16,7,13,9,9,5,8,2,5,0,28,8,70,4,62,8,3,0,4,6,30,3,7,0,7,2,2,3,3,4,1,5,-14,9,11950,36540,3,1
77,552810,1394424,24000,60,6,11,7,17,4,13,7,13,3,10,9,8,4,7,0,5,0,24,9,81,4,74,9,3,1,3,4,22,9,7,3,5,5,2,4,2,1,1,0,-17,1,12740,39570,3,1
78,585087,1461992,27470,68,6,9,7,15,2,11,4,11,0,9,2,7,2,5,7,5,0,20,2,86,2,80,0,2,8,3,4,23,1,9,7,3,8,1,7,1,4,0,7,-22,8,13560,51500,3,8
79,166202,368528,21590,45,1,11,9,19,1,13,8,12,3,11,2,8,8,11,6,6,7,26,8,68,8,61,1,2,6,5,1,31,4,7,8,5,9,2,1,2,7,1,1,-13,9,12790,34880,2,7
80,237783,529438,20980,45,2,15,7,28,2,19,2,17,4,15,1,10,2,9,4,6,9,31,8,68,6,59,8,3,0,5,8,30,2,8,2,7,4,2,3,3,7,1,4,-14,4,11720,35210,3,0
81,175041,382076,21080,42,5,15,3,25,5,18,2,16,8,15,4,11,2,12,3,8,7,31,2,63,3,54,6,3,1,5,6,34,5,9,2,6,6,2,1,3,2,1,3,-13,6,11790,35050,3,0
82,113019,258582,20860,42,8,16,3,24,0,18,7,17,6,15,7,12,7,13,9,9,4,31,3,66,6,58,0,3,3,5,3,31,0,8,6,7,3,2,5,3,4,1,4,-13,5,11530,34340,3,0
83,501353,1058429,22320,50,5,15,3,22,7,18,6,18,0,16,0,12,0,10,2,7,7,27,2,62,5,53,0,3,3,6,2,36,7,11,6,5,7,1,7,2,8,1,2,-16,5,11610,38930,3,4
84,247468,558077,20640,44,7,19,5,26,2,22,7,23,0,19,0,16,2,12,7,9,1,33,6,66,0,56,3,3,9,5,8,30,8,10,6,7,4,2,4,3,4,1,6,-14,8,10860,36130,3,3
85,312660,699406,22040,47,1,8,9,12,5,9,6,9,7,9,7,6,4,8,5,5,4,20,9,64,2,56,5,2,9,4,8,35,8,9,0,4,7,2,0,1,9,0,8,-13,7,13820,34520,2,5
86,188930,406517,21580,45,8,14,0,27,0,16,5,14,9,13,1,9,3,10,8,6,7,31,0,67,3,59,7,2,7,4,9,32,5,8,2,6,2,2,1,2,8,1,3,-14,2,12060,35410,2,9
87,170656,350557,21610,46,0,15,3,28,4,19,3,17,0,14,6,10,1,10,6,7,4,32,7,64,3,57,2,2,4,4,7,35,7,7,6,6,7,1,9,3,4,1,4,-14,3,11700,35460,3,0
88,165969,351487,20900,42,9,14,9,24,0,19,1,17,8,14,7,10,3,9,0,7,5,31,3,64,3,56,7,3,0,4,6,34,4,8,2,6,5,2,1,3,1,1,3,-13,4,11900,33980,2,9
89,150608,324966,21390,47,4,14,3,20,6,17,7,17,5,14,6,9,9,8,3,7,5,30,2,64,2,56,1,2,8,5,3,35,2,8,2,6,5,2,2,3,1,1,2,-14,1,12070,34670,2,9
90,60816,134107,22370,51,3,14,8,24,0,17,7,17,2,14,0,9,7,9,1,5,3,30,3,74,4,67,2,3,7,3,5,28,6,6,2,6,3,2,1,2,9,1,3,-15,5,11880,38860,3,3
91,518894,1305613,24410,63,2,13,2,18,6,16,0,15,7,12,3,8,8,6,2,5,0,26,3,83,0,77,1,3,0,2,9,23,4,7,0,5,3,2,3,2,0,1,0,-18,7,12190,42200,3,5
92,699330,1591999,28810,69,6,11,9,15,3,10,9,12,7,12,5,11,3,9,1,5,0,19,1,92,3,84,4,3,1,4,8,18,5,12,1,3,3,1,2,1,4,0,7,-26,2,12560,60290,4,8
93,608967,1601500,18470,48,0,27,6,29,6,28,1,31,6,28,9,22,9,17,3,12,5,37,2,80,7,73,3,4,5,2,9,18,4,5,3,10,8,3,8,4,7,2,3,-15,2,9210,34590,3,8
94,572779,1371103,23540,61,3,16,6,21,9,17,4,19,0,17,0,13,4,9,6,5,7,26,1,85,4,77,8,3,3,4,3,21,0,8,1,5,7,2,1,2,4,1,2,-20,2,11050,45160,4,1
95,471215,1256070,22650,59,0,17,0,21,7,18,7,20,0,16,7,12,7,9,5,7,1,30,1,83,1,76,2,3,5,3,4,21,6,6,4,6,4,2,8,2,4,1,2,-17,5,11090,39800,3,6
972,149281,316359,19200,34,6,26,7,45,2,32,7,27,0,26,1,21,9,29,0,19,6,34,2,70,4,61,9,3,5,5,0,25,5,5,1,12,5,2,5,8,0,2,0,-13,5,9410,37780,4,0
974,329256,875855,16520,29,6,35,6,50,6,39,5,35,8,33,1,29,1,36,3,25,9,44,9,72,8,60,6,5,0,7,2,15,9,6,6,17,6,4,4,10,0,3,2,-12,9,8850,36500,4,1
